,date,nav
140,14-11-2025,197.06760
141,13-11-2025,196.54650
142,12-11-2025,196.88400
143,11-11-2025,196.44860
144,10-11-2025,196.24510
145,07-11-2025,197.31500
146,06-11-2025,197.80320
147,04-11-2025,200.46780
148,03-11-2025,200.97090
149,31-10-2025,199.82340
150,30-10-2025,200.51850
151,29-10-2025,201.03750
152,28-10-2025,200.63480
153,27-10-2025,199.79650
154,24-10-2025,198.41150
155,23-10-2025,198.75210
156,20-10-2025,197.52580
157,17-10-2025,197.10750
158,16-10-2025,196.95210
159,15-10-2025,194.70000
160,14-10-2025,193.39750
161,13-10-2025,194.53640
162,10-10-2025,195.11850
163,09-10-2025,195.03760
164,08-10-2025,195.85870
165,07-10-2025,196.42940
166,06-10-2025,196.54830
167,03-10-2025,196.29650
168,01-10-2025,195.08560
169,30-09-2025,193.88220
170,26-09-2025,194.09730
171,25-09-2025,197.34470
172,24-09-2025,198.88610
173,23-09-2025,199.45730
174,22-09-2025,200.25390
175,19-09-2025,201.30600
176,18-09-2025,201.54470
177,17-09-2025,201.82000
178,16-09-2025,201.17950
179,15-09-2025,200.09670
180,12-09-2025,199.07160
181,11-09-2025,198.98350
182,10-09-2025,198.70750
183,09-09-2025,198.24440
184,08-09-2025,197.44800
185,05-09-2025,197.59390
186,04-09-2025,197.68870
187,03-09-2025,197.63250
188,02-09-2025,196.23670
189,01-09-2025,195.73430
190,31-08-2025,193.75370
191,29-08-2025,193.75320
192,28-08-2025,194.48930
193,26-08-2025,195.59460
194,25-08-2025,198.78050
195,22-08-2025,199.11560
196,21-08-2025,200.05540
197,20-08-2025,198.84770
198,19-08-2025,198.03890
199,18-08-2025,196.92030
200,14-08-2025,193.41310
201,13-08-2025,192.92220
202,12-08-2025,192.70500
203,11-08-2025,193.15840
204,08-08-2025,191.95750
205,07-08-2025,193.00640
206,06-08-2025,193.57560
207,05-08-2025,194.97310
208,04-08-2025,195.65360
209,01-08-2025,194.95480
210,31-07-2025,197.48900
211,30-07-2025,198.45080
212,29-07-2025,197.81460
213,28-07-2025,197.46290
214,25-07-2025,199.43490
215,24-07-2025,202.72100
216,23-07-2025,203.90430
217,22-07-2025,203.37140
218,21-07-2025,203.80280
219,18-07-2025,204.03560
220,17-07-2025,204.90430
221,16-07-2025,203.68350
222,15-07-2025,203.92680
223,14-07-2025,202.01890
224,11-07-2025,201.26060
225,10-07-2025,201.59850
226,09-07-2025,201.32870
227,08-07-2025,200.43960
228,07-07-2025,200.32350
229,04-07-2025,200.67620
230,03-07-2025,200.01860
231,02-07-2025,199.34090
232,01-07-2025,200.26720
233,30-06-2025,200.31780
234,27-06-2025,198.06880
235,26-06-2025,197.22860
236,25-06-2025,197.44050
237,24-06-2025,194.48380
238,23-06-2025,192.97300
239,20-06-2025,192.58720
240,19-06-2025,192.15350
241,18-06-2025,194.74980
242,17-06-2025,194.49760
243,16-06-2025,194.31170
244,13-06-2025,193.87020
245,12-06-2025,194.31590
246,11-06-2025,196.31550
247,10-06-2025,196.32030
248,09-06-2025,196.22680
249,06-06-2025,194.43670
250,05-06-2025,193.46220
251,04-06-2025,193.32410
252,03-06-2025,193.35580
253,02-06-2025,193.01410
254,31-05-2025,192.67840
255,30-05-2025,192.67720
256,29-05-2025,192.49060
257,28-05-2025,192.23220
258,27-05-2025,191.69150
259,26-05-2025,192.01160
260,23-05-2025,190.74280
261,22-05-2025,190.22970
262,21-05-2025,190.27080
263,20-05-2025,190.16200
264,19-05-2025,192.00150
265,16-05-2025,190.55430
266,15-05-2025,189.77160
267,14-05-2025,188.34010
268,13-05-2025,185.91990
269,12-05-2025,185.51940
270,09-05-2025,180.30790
271,08-05-2025,181.21480
272,07-05-2025,182.51470
273,06-05-2025,180.87420
274,05-05-2025,183.67000
275,02-05-2025,181.67630
276,30-04-2025,181.85270
277,29-04-2025,184.47490
278,28-04-2025,184.79840
279,25-04-2025,184.38920
280,24-04-2025,187.44420
281,23-04-2025,187.49180
282,22-04-2025,187.45940
283,21-04-2025,186.10860
284,17-04-2025,183.49400
285,16-04-2025,182.67970
286,15-04-2025,181.46880
287,11-04-2025,177.35900
288,09-04-2025,173.40240
289,08-04-2025,174.61980
290,07-04-2025,171.89300
291,04-04-2025,176.88530
292,03-04-2025,181.02050
293,02-04-2025,180.50400
294,01-04-2025,178.30730
295,31-03-2025,178.56280
296,28-03-2025,178.55480
297,27-03-2025,178.65350
298,26-03-2025,178.86170
299,25-03-2025,181.14990
300,24-03-2025,181.66260
301,21-03-2025,179.87650
302,20-03-2025,177.25460
303,19-03-2025,176.27700
304,18-03-2025,174.30650
305,17-03-2025,170.84150
306,13-03-2025,170.44540
307,12-03-2025,170.91270
308,11-03-2025,170.81180
309,10-03-2025,171.88780
310,07-03-2025,173.64640
311,06-03-2025,173.05460
312,05-03-2025,170.53780
313,04-03-2025,167.41440
314,03-03-2025,166.53630
315,28-02-2025,167.27530
316,27-02-2025,169.27610
317,25-02-2025,170.57720
318,24-02-2025,171.02810
319,21-02-2025,173.19400
320,20-02-2025,173.72510
321,19-02-2025,172.85420
322,18-02-2025,170.63510
323,17-02-2025,172.60170
324,14-02-2025,173.70270
325,13-02-2025,177.22140
326,12-02-2025,178.06730
327,11-02-2025,178.80970
328,10-02-2025,183.49470
329,07-02-2025,186.60010
330,06-02-2025,188.22360
331,05-02-2025,188.00120
332,04-02-2025,187.74020
333,03-02-2025,186.58870
334,31-01-2025,185.89270
335,30-01-2025,183.94810
336,29-01-2025,184.47400
337,28-01-2025,179.99810
338,27-01-2025,181.15050
339,24-01-2025,184.83570
340,23-01-2025,187.60260
341,22-01-2025,186.99250
342,21-01-2025,189.03020
343,20-01-2025,191.86990
344,17-01-2025,190.54740
345,16-01-2025,191.54610
346,15-01-2025,190.29080
347,14-01-2025,189.43940
348,13-01-2025,187.97080
349,10-01-2025,194.09510
350,09-01-2025,197.39780
351,08-01-2025,199.10830
352,07-01-2025,201.51000
353,06-01-2025,199.93250
354,03-01-2025,204.74730
355,02-01-2025,204.95800
356,01-01-2025,204.01330
357,31-12-2024,202.02500
358,30-12-2024,200.94740
359,27-12-2024,202.27440
360,26-12-2024,201.17120
361,24-12-2024,201.91170
362,23-12-2024,201.82350
363,20-12-2024,203.86390
364,19-12-2024,208.18140
365,18-12-2024,208.90390
366,17-12-2024,209.14900
367,16-12-2024,209.93610
368,13-12-2024,209.47050
369,12-12-2024,209.13640
370,11-12-2024,210.48870
371,10-12-2024,210.19360
372,09-12-2024,209.11880
373,06-12-2024,207.77930
374,05-12-2024,206.96340
375,04-12-2024,206.87990
376,03-12-2024,205.61420
377,02-12-2024,203.06620
378,30-11-2024,203.23060
379,29-11-2024,203.22980
380,28-11-2024,202.20460
381,27-11-2024,202.23030
382,26-11-2024,201.59810
383,25-11-2024,201.24270
384,22-11-2024,196.96790
385,21-11-2024,196.01740
386,19-11-2024,196.91490
387,18-11-2024,194.96320
388,14-11-2024,195.88250
389,13-11-2024,194.60350
390,12-11-2024,198.66500
391,11-11-2024,201.17830
392,08-11-2024,202.85580
393,07-11-2024,204.91850
394,06-11-2024,205.59320
395,05-11-2024,203.88450
396,04-11-2024,204.18210
397,31-10-2024,204.70650
398,30-10-2024,201.17000
399,29-10-2024,199.66210
400,28-10-2024,198.76200
401,25-10-2024,199.02570
402,24-10-2024,202.37940
403,23-10-2024,204.16040
404,22-10-2024,204.11900
405,21-10-2024,209.18120
406,18-10-2024,212.42580
407,17-10-2024,212.58360
408,16-10-2024,214.61380
409,15-10-2024,214.67670
410,14-10-2024,212.70610
411,11-10-2024,211.86820
412,10-10-2024,211.20750
413,09-10-2024,211.46180
414,08-10-2024,209.71250
415,07-10-2024,205.93070
416,04-10-2024,210.64500
417,03-10-2024,211.10730
418,01-10-2024,214.27590
419,30-09-2024,213.85410
420,27-09-2024,213.82450
421,26-09-2024,212.39300
422,25-09-2024,213.20710
423,24-09-2024,212.94540
424,23-09-2024,213.66070
425,20-09-2024,212.07530
426,19-09-2024,211.29030
427,18-09-2024,212.19740
428,17-09-2024,212.87130
429,16-09-2024,213.11800
430,13-09-2024,212.68240
431,12-09-2024,211.28420
432,11-09-2024,210.11110
433,10-09-2024,211.83530
434,09-09-2024,208.70900
435,06-09-2024,209.50180
436,05-09-2024,210.08360
437,04-09-2024,208.90430
438,03-09-2024,209.17100
439,02-09-2024,208.31130
440,31-08-2024,208.41670
441,30-08-2024,208.41680
442,29-08-2024,207.04990
443,28-08-2024,207.89870
444,27-08-2024,207.49040
445,26-08-2024,206.78640
446,23-08-2024,206.38890
447,22-08-2024,206.14190
448,21-08-2024,205.69040
449,20-08-2024,204.27780
450,19-08-2024,204.10160
451,16-08-2024,202.84710
452,14-08-2024,200.55320
453,13-08-2024,201.61010
454,12-08-2024,202.17420
455,09-08-2024,201.56990
456,08-08-2024,201.09250
457,07-08-2024,202.00340
458,06-08-2024,199.01140
459,05-08-2024,199.56190
460,02-08-2024,206.20350
461,01-08-2024,207.84030
462,31-07-2024,208.43580
463,30-07-2024,208.69120
464,29-07-2024,208.25480
465,26-07-2024,205.42050
466,25-07-2024,203.74190
467,24-07-2024,204.46770
468,23-07-2024,201.70180
469,22-07-2024,202.03550
470,19-07-2024,200.73470
471,18-07-2024,203.60470
472,16-07-2024,204.64390
473,15-07-2024,204.26510
474,12-07-2024,204.37660
475,11-07-2024,205.33260
476,10-07-2024,204.00500
477,09-07-2024,204.74340
478,08-07-2024,203.95050
479,05-07-2024,204.89210
480,04-07-2024,203.57230
481,03-07-2024,202.90490
482,02-07-2024,200.59120
483,01-07-2024,200.45560
484,30-06-2024,197.87550
485,28-06-2024,197.87460
486,27-06-2024,197.54100
487,26-06-2024,198.68260
488,25-06-2024,199.28880
489,24-06-2024,198.96450
490,21-06-2024,198.84530
491,20-06-2024,198.73210
492,19-06-2024,197.86450
493,18-06-2024,198.25160
494,14-06-2024,198.12810
495,13-06-2024,196.43830
496,12-06-2024,195.44150
497,11-06-2024,193.73580
498,10-06-2024,192.35180
499,07-06-2024,189.56980
500,06-06-2024,186.50830
501,05-06-2024,183.04960
502,04-06-2024,178.35910
503,03-06-2024,186.91550
504,31-05-2024,183.55500
505,30-05-2024,181.99070
506,29-05-2024,183.91990
507,28-05-2024,183.29630
508,27-05-2024,183.96720
509,24-05-2024,184.22960
510,23-05-2024,184.86470
511,22-05-2024,185.17180
512,21-05-2024,184.77490
513,17-05-2024,183.66970
514,16-05-2024,181.91380
515,15-05-2024,179.54070
516,14-05-2024,177.76550
517,13-05-2024,175.80480
518,10-05-2024,175.77960
519,09-05-2024,174.97820
520,08-05-2024,179.08460
521,07-05-2024,178.25650
522,06-05-2024,179.81960
523,03-05-2024,180.58290
524,02-05-2024,181.82800
525,30-04-2024,181.43470
526,29-04-2024,181.05300
527,26-04-2024,180.42500
528,25-04-2024,180.43450
529,24-04-2024,179.53280
530,23-04-2024,178.20840
531,22-04-2024,177.25860
532,19-04-2024,175.64450
533,18-04-2024,174.74650
534,16-04-2024,174.64190
535,15-04-2024,174.15540
536,12-04-2024,175.80470
537,10-04-2024,176.92020
538,09-04-2024,175.30610
539,08-04-2024,175.56460
540,05-04-2024,175.35380
541,04-04-2024,174.63640
542,03-04-2024,173.69260
543,02-04-2024,172.32720
544,01-04-2024,171.31840
545,31-03-2024,167.81360
546,28-03-2024,167.81390
547,27-03-2024,167.18190
548,26-03-2024,166.38440
549,22-03-2024,166.58970
550,21-03-2024,165.01480
551,20-03-2024,162.07690
552,19-03-2024,162.38850
553,18-03-2024,163.10550
554,15-03-2024,162.61570
555,14-03-2024,162.56190
556,13-03-2024,160.58350
557,12-03-2024,166.20620
558,11-03-2024,168.47940
559,07-03-2024,169.98460
560,06-03-2024,168.78030
561,05-03-2024,171.44490
562,04-03-2024,172.01160
563,01-03-2024,171.38620
564,29-02-2024,169.96340
565,28-02-2024,169.67810
566,27-02-2024,171.15060
567,26-02-2024,170.77230
568,23-02-2024,170.75130
569,22-02-2024,169.45300
570,21-02-2024,169.26090
571,20-02-2024,169.79750
572,19-02-2024,169.64210
573,16-02-2024,169.68790
574,15-02-2024,168.78300
575,14-02-2024,168.05510
576,13-02-2024,166.35530
577,12-02-2024,165.36070
578,09-02-2024,168.08130
579,08-02-2024,168.68940
580,07-02-2024,168.70670
581,06-02-2024,168.02770
582,05-02-2024,165.80490
583,02-02-2024,166.81720
584,01-02-2024,166.51910
585,31-01-2024,167.08530
586,30-01-2024,163.88540
587,29-01-2024,164.24300
588,25-01-2024,163.06420
589,24-01-2024,162.90440
590,23-01-2024,161.13050
591,19-01-2024,162.83230
592,18-01-2024,162.26090
593,17-01-2024,162.90310
594,16-01-2024,164.43210
595,15-01-2024,165.01830
596,12-01-2024,164.21060
597,11-01-2024,163.71650
598,10-01-2024,162.75620
599,09-01-2024,162.83110
600,08-01-2024,162.59160
601,05-01-2024,163.74990
602,04-01-2024,162.76090
603,03-01-2024,162.10600
604,02-01-2024,162.06460
605,01-01-2024,161.42720
606,29-12-2023,161.23570
607,28-12-2023,159.96250
608,27-12-2023,159.80290
609,26-12-2023,159.32410
610,22-12-2023,159.20230
611,21-12-2023,158.63270
612,20-12-2023,157.12700
613,19-12-2023,161.06180
614,18-12-2023,161.43560
615,15-12-2023,161.54280
616,14-12-2023,161.06090
617,13-12-2023,159.94020
618,12-12-2023,159.44360
619,11-12-2023,159.79540
620,08-12-2023,159.55530
621,07-12-2023,159.95680
622,06-12-2023,159.48490
623,05-12-2023,159.50410
624,04-12-2023,158.81010
625,01-12-2023,157.41760
626,30-11-2023,157.43140
627,29-11-2023,155.71050
628,28-11-2023,155.64510
629,24-11-2023,154.68300
630,23-11-2023,154.39260
631,22-11-2023,154.43410
632,21-11-2023,154.97010
633,20-11-2023,153.98730
634,17-11-2023,153.40800
635,16-11-2023,152.83770
636,15-11-2023,152.73980
637,13-11-2023,151.31400
638,10-11-2023,150.57810
639,09-11-2023,150.39980
640,08-11-2023,150.53310
641,07-11-2023,150.04940
642,06-11-2023,149.59200
643,03-11-2023,148.72050
644,02-11-2023,147.81920
645,01-11-2023,147.15460
646,31-10-2023,147.56260
647,30-10-2023,147.19740
648,27-10-2023,147.27930
649,26-10-2023,145.45300
650,25-10-2023,146.78620
651,23-10-2023,148.01860
652,20-10-2023,152.89160
653,19-10-2023,153.63700
654,18-10-2023,153.62520
655,17-10-2023,153.48660
656,16-10-2023,152.97470
657,13-10-2023,151.99220
658,12-10-2023,152.01910
659,11-10-2023,151.72290
660,10-10-2023,150.85630
661,09-10-2023,149.68450
662,06-10-2023,151.72000
663,05-10-2023,151.05840
664,04-10-2023,150.84800
665,03-10-2023,151.72950
666,29-09-2023,151.24970
667,27-09-2023,151.75530
668,26-09-2023,151.15260
669,25-09-2023,151.19660
670,22-09-2023,151.25970
671,21-09-2023,150.82720
672,20-09-2023,152.93130
673,18-09-2023,152.70610
674,15-09-2023,153.19300
675,14-09-2023,153.13890
676,13-09-2023,151.90550
677,12-09-2023,151.65830
678,11-09-2023,154.99080
679,08-09-2023,153.84310
680,07-09-2023,153.15100
681,06-09-2023,151.61470
682,05-09-2023,151.76550
683,04-09-2023,151.57480
684,01-09-2023,150.41260
685,31-08-2023,150.23060
686,30-08-2023,149.28840
687,29-08-2023,148.56920
688,28-08-2023,148.10740
689,25-08-2023,147.08850
690,24-08-2023,147.62330
691,23-08-2023,147.66660
692,22-08-2023,147.42070
693,21-08-2023,145.96920
694,18-08-2023,145.49760
695,17-08-2023,145.50100
696,16-08-2023,145.84700
697,14-08-2023,145.33910
698,11-08-2023,145.58810
699,10-08-2023,145.47230
700,09-08-2023,146.32930
701,08-08-2023,145.50020
702,07-08-2023,145.72720
703,04-08-2023,145.71290
704,03-08-2023,145.07950
705,02-08-2023,145.42340
706,01-08-2023,146.74570
707,31-07-2023,146.15820
708,28-07-2023,144.58240
709,27-07-2023,143.83590
710,26-07-2023,143.61880
711,25-07-2023,143.18630
712,24-07-2023,143.18320
713,21-07-2023,142.80640
714,20-07-2023,143.06150
715,19-07-2023,142.43170
716,18-07-2023,141.89480
717,17-07-2023,142.20500
718,14-07-2023,141.09830
719,13-07-2023,140.34480
720,12-07-2023,140.80360
721,11-07-2023,139.90540
722,10-07-2023,139.47430
723,07-07-2023,139.51120
724,06-07-2023,139.62780
725,05-07-2023,138.95790
726,04-07-2023,138.28760
727,03-07-2023,138.67420
728,30-06-2023,138.08830
729,28-06-2023,137.56100
730,27-06-2023,137.51730
731,26-06-2023,137.17380
732,23-06-2023,136.35240
733,22-06-2023,137.25140
734,21-06-2023,137.85180
735,20-06-2023,137.38780
736,19-06-2023,137.02580
737,16-06-2023,137.26180
738,15-06-2023,136.67750
739,14-06-2023,136.54230
740,13-06-2023,135.98440
741,12-06-2023,134.70180
742,09-06-2023,134.11180
743,08-06-2023,134.56460
744,07-06-2023,134.98550
745,06-06-2023,133.57340
746,05-06-2023,133.11770
747,02-06-2023,132.61400
748,01-06-2023,132.33410
749,31-05-2023,132.29130
750,30-05-2023,131.90120
751,29-05-2023,131.71390
752,26-05-2023,131.58210
753,25-05-2023,131.16350
754,24-05-2023,130.98640
755,23-05-2023,130.87000
756,22-05-2023,131.12640
757,19-05-2023,130.23830
758,18-05-2023,130.64470
759,17-05-2023,130.56820
760,16-05-2023,130.81270
761,15-05-2023,130.52590
762,12-05-2023,130.14330
763,11-05-2023,130.28510
764,10-05-2023,129.45460
765,09-05-2023,128.82740
766,08-05-2023,128.98770
767,05-05-2023,127.73710
768,04-05-2023,128.18460
769,03-05-2023,127.49300
770,02-05-2023,127.35450
771,28-04-2023,127.17120
772,27-04-2023,126.33800
773,26-04-2023,125.86180
774,25-04-2023,125.39490
775,24-04-2023,125.37200
776,21-04-2023,125.22840
777,20-04-2023,125.37920
778,19-04-2023,124.62460
779,18-04-2023,124.32440
780,17-04-2023,124.27280
781,13-04-2023,123.99110
782,12-04-2023,123.68080
783,11-04-2023,123.22150
784,10-04-2023,122.94160
785,06-04-2023,122.78110
786,05-04-2023,122.62120
787,03-04-2023,122.12710
788,31-03-2023,121.71440
789,29-03-2023,120.03710
790,28-03-2023,118.30580
791,27-03-2023,119.38300
792,24-03-2023,120.27450
793,23-03-2023,121.70650
794,22-03-2023,121.41560
795,21-03-2023,120.99530
796,20-03-2023,120.33440
797,17-03-2023,121.44600
798,16-03-2023,120.94170
799,15-03-2023,121.86050
800,14-03-2023,121.75290
801,13-03-2023,122.77710
802,10-03-2023,124.21100
803,09-03-2023,124.55020
804,08-03-2023,124.74690
805,06-03-2023,124.83390
806,03-03-2023,123.94810
807,02-03-2023,123.39930
808,01-03-2023,123.66500
809,28-02-2023,122.87010
810,27-02-2023,122.05520
811,24-02-2023,123.17770
812,23-02-2023,123.05130
813,22-02-2023,123.39200
814,21-02-2023,124.51720
815,20-02-2023,124.98140
816,17-02-2023,125.11190
817,16-02-2023,124.97140
818,15-02-2023,124.45060
819,14-02-2023,124.09160
820,13-02-2023,124.40560
821,10-02-2023,125.17020
822,09-02-2023,124.73790
823,08-02-2023,125.11170
824,07-02-2023,124.41820
825,06-02-2023,123.99210
826,03-02-2023,124.29070
827,02-02-2023,124.00830
828,01-02-2023,123.47840
829,31-01-2023,124.31380
830,30-01-2023,122.36330
831,27-01-2023,122.69620
832,25-01-2023,123.75220
833,24-01-2023,124.13280
834,23-01-2023,124.42500
835,20-01-2023,124.80500
836,19-01-2023,125.54330
837,18-01-2023,125.71860
838,17-01-2023,125.80740
839,16-01-2023,125.98320
840,13-01-2023,126.05880
841,12-01-2023,126.19640
842,11-01-2023,125.90800
843,10-01-2023,125.80040
844,09-01-2023,126.44620
845,06-01-2023,125.71850
846,05-01-2023,126.73270
847,04-01-2023,126.72660
848,03-01-2023,127.70460
849,02-01-2023,127.84040
850,30-12-2022,127.33480
851,29-12-2022,127.02110
852,28-12-2022,126.64490
853,27-12-2022,126.32000
854,26-12-2022,125.30490
855,23-12-2022,122.57510
856,22-12-2022,125.96630
857,21-12-2022,128.15640
858,20-12-2022,130.28140
859,19-12-2022,129.92220
860,16-12-2022,129.88910
861,15-12-2022,130.95910
862,14-12-2022,131.99510
863,13-12-2022,131.07840
864,12-12-2022,130.62560
865,09-12-2022,130.59030
866,08-12-2022,131.32880
867,07-12-2022,130.61840
868,06-12-2022,130.92860
869,05-12-2022,131.04080
870,02-12-2022,130.68550
871,01-12-2022,130.27580
872,30-11-2022,129.50970
873,29-11-2022,128.54400
874,28-11-2022,129.01660
875,25-11-2022,128.55620
876,24-11-2022,128.25670
877,23-11-2022,127.74930
878,22-11-2022,127.42690
879,21-11-2022,127.65350
880,18-11-2022,127.40220
881,17-11-2022,128.07440
882,16-11-2022,128.11350
883,15-11-2022,127.40280
884,14-11-2022,127.49320
885,11-11-2022,127.74700
886,10-11-2022,127.72200
887,09-11-2022,128.44300
888,07-11-2022,128.99030
889,04-11-2022,128.61500
890,03-11-2022,128.43450
891,02-11-2022,128.45680
892,01-11-2022,127.86030
893,31-10-2022,127.64110
894,28-10-2022,127.84950
895,27-10-2022,128.57420
896,25-10-2022,128.14430
897,21-10-2022,127.68500
898,20-10-2022,128.71590
899,19-10-2022,128.66490
900,18-10-2022,128.08460
901,17-10-2022,127.49360
902,14-10-2022,127.33710
903,13-10-2022,127.08320
904,12-10-2022,127.81170
905,11-10-2022,127.55030
906,10-10-2022,128.28790
907,07-10-2022,129.38890
908,06-10-2022,128.88440
909,04-10-2022,128.24360
910,03-10-2022,127.13510
911,30-09-2022,126.73840
912,29-09-2022,125.20230
913,28-09-2022,124.43190
914,27-09-2022,124.64060
915,26-09-2022,123.84370
916,23-09-2022,126.96710
917,22-09-2022,128.60600
918,21-09-2022,128.62300
919,20-09-2022,128.89830
920,19-09-2022,127.81660
921,16-09-2022,128.00290
922,15-09-2022,130.84770
923,14-09-2022,131.51050
924,13-09-2022,130.99840
925,12-09-2022,131.27110
926,09-09-2022,130.16620
927,08-09-2022,129.83880
928,07-09-2022,128.99030
929,06-09-2022,127.81200
930,05-09-2022,126.98830
931,02-09-2022,126.10910
932,01-09-2022,124.82650
933,30-08-2022,124.71270
934,29-08-2022,123.24180
935,26-08-2022,123.65620
936,25-08-2022,123.25720
937,24-08-2022,122.91310
938,23-08-2022,122.13780
939,22-08-2022,121.15940
940,19-08-2022,121.89630
941,18-08-2022,123.10310
942,17-08-2022,122.70030
943,16-08-2022,122.57980
944,12-08-2022,122.14650
945,11-08-2022,122.04360
946,10-08-2022,121.78950
947,08-08-2022,120.85290
948,05-08-2022,119.50010
949,04-08-2022,119.53510
950,03-08-2022,119.36710
951,02-08-2022,119.67090
952,01-08-2022,118.42850
953,29-07-2022,115.82620
954,28-07-2022,115.42120
955,27-07-2022,114.22380
956,26-07-2022,113.93630
957,25-07-2022,114.32510
958,22-07-2022,114.09000
959,21-07-2022,113.40940
960,20-07-2022,112.98680
961,19-07-2022,112.80460
962,18-07-2022,111.93220
963,15-07-2022,111.19870
964,14-07-2022,110.55230
965,13-07-2022,110.68760
966,12-07-2022,110.52170
967,11-07-2022,111.37350
968,08-07-2022,110.32050
969,07-07-2022,110.09590
970,06-07-2022,109.45310
971,05-07-2022,108.90190
972,04-07-2022,108.08600
973,01-07-2022,107.25110
974,30-06-2022,107.34470
975,29-06-2022,107.52980
976,28-06-2022,107.84570
977,27-06-2022,107.74300
978,24-06-2022,106.56300
979,23-06-2022,105.58260
980,22-06-2022,104.27180
981,21-06-2022,104.87010
982,20-06-2022,103.20490
983,17-06-2022,104.89110
984,16-06-2022,105.83600
985,15-06-2022,107.95690
986,14-06-2022,107.76550
987,13-06-2022,108.19730
988,10-06-2022,110.36110
989,09-06-2022,110.77300
990,08-06-2022,110.69600
991,07-06-2022,110.87410
992,06-06-2022,111.46800
993,03-06-2022,111.68540
994,02-06-2022,113.04470
995,01-06-2022,113.04690
996,31-05-2022,111.39850
997,30-05-2022,110.88540
998,27-05-2022,109.12390
