investor_id,num_sip_transactions,avg_gap_days,risk_status
INV000847,6,47.8,At Risk
INV000853,10,49.333333333333336,At Risk
INV000854,9,61.25,At Risk
INV000858,9,44.875,At Risk
INV000862,6,91.2,At Risk
INV000864,6,40.8,At Risk
INV000865,9,45.75,At Risk
INV000869,6,65.4,At Risk
INV000873,7,73.5,At Risk
INV000874,9,62.125,At Risk
INV000877,6,59.4,At Risk
INV000881,10,46.111111111111114,At Risk
INV000887,7,65.66666666666667,At Risk
INV000888,7,80.33333333333333,At Risk
INV000893,7,59.5,At Risk
INV000894,6,55.0,At Risk
INV000901,6,54.0,At Risk
INV000907,6,59.2,At Risk
INV000920,6,75.6,At Risk
INV000926,6,80.0,At Risk
INV000929,7,58.166666666666664,At Risk
INV000930,8,32.42857142857143,Active
INV000935,9,30.875,Active
INV000939,8,60.57142857142857,At Risk
INV000942,7,53.0,At Risk
INV000949,7,67.5,At Risk
INV000950,6,91.0,At Risk
INV000971,7,46.833333333333336,At Risk
INV000974,7,73.5,At Risk
INV000977,10,48.77777777777778,At Risk
INV000979,6,79.8,At Risk
INV000980,8,44.42857142857143,At Risk
INV000981,6,50.4,At Risk
INV000986,7,60.833333333333336,At Risk
INV000994,6,63.8,At Risk
INV001001,8,60.285714285714285,At Risk
INV001002,7,41.666666666666664,At Risk
INV001005,6,93.6,At Risk
INV001008,7,64.66666666666667,At Risk
INV001013,6,96.8,At Risk
INV001017,6,67.0,At Risk
INV001019,9,44.875,At Risk
INV001021,7,68.66666666666667,At Risk
INV001023,8,72.42857142857143,At Risk
INV001025,6,38.8,At Risk
INV001026,6,69.4,At Risk
INV001037,10,42.0,At Risk
INV001039,6,66.2,At Risk
INV001041,7,83.0,At Risk
INV001047,7,66.16666666666667,At Risk
INV001048,8,47.0,At Risk
INV001051,8,54.142857142857146,At Risk
INV001053,8,55.857142857142854,At Risk
INV001055,6,93.2,At Risk
INV001060,9,53.375,At Risk
INV001061,9,51.125,At Risk
INV001063,8,43.285714285714285,At Risk
INV001064,9,59.5,At Risk
INV001069,8,41.285714285714285,At Risk
INV001070,6,97.0,At Risk
INV001092,7,77.33333333333333,At Risk
INV001099,8,26.142857142857142,Active
INV001102,7,55.333333333333336,At Risk
INV001115,6,81.4,At Risk
INV001116,9,58.125,At Risk
INV001117,8,61.714285714285715,At Risk
INV001130,7,76.83333333333333,At Risk
INV001137,7,57.0,At Risk
INV001140,6,60.4,At Risk
INV001141,6,97.6,At Risk
INV001142,7,42.833333333333336,At Risk
INV001156,6,102.4,At Risk
INV001160,8,57.57142857142857,At Risk
INV001161,6,80.6,At Risk
INV001163,7,67.33333333333333,At Risk
INV001167,6,96.2,At Risk
INV001170,6,68.2,At Risk
INV001173,6,67.0,At Risk
INV001178,7,79.66666666666667,At Risk
INV001180,6,74.4,At Risk
INV001181,8,67.42857142857143,At Risk
INV001190,6,97.0,At Risk
INV001195,8,53.42857142857143,At Risk
INV001196,6,92.2,At Risk
INV001202,8,58.0,At Risk
INV001206,6,83.6,At Risk
INV001208,7,51.833333333333336,At Risk
INV001210,9,36.875,At Risk
INV001217,8,60.142857142857146,At Risk
INV001219,8,50.857142857142854,At Risk
INV001220,7,77.16666666666667,At Risk
INV001223,7,70.83333333333333,At Risk
INV001234,8,60.57142857142857,At Risk
INV001235,9,59.0,At Risk
INV001237,6,98.0,At Risk
INV001238,7,68.5,At Risk
INV001242,6,69.8,At Risk
INV001251,6,82.0,At Risk
INV001262,7,44.833333333333336,At Risk
INV001274,7,73.33333333333333,At Risk
INV001275,7,66.66666666666667,At Risk
INV001282,6,67.0,At Risk
INV001287,6,92.2,At Risk
INV001288,7,45.666666666666664,At Risk
INV001291,6,76.2,At Risk
INV001295,9,50.75,At Risk
INV001298,7,71.83333333333333,At Risk
INV001299,9,51.25,At Risk
INV001304,6,97.6,At Risk
INV001308,9,54.625,At Risk
INV001310,6,81.2,At Risk
INV001314,10,50.44444444444444,At Risk
INV001315,7,51.833333333333336,At Risk
INV001316,6,92.4,At Risk
INV001317,6,84.8,At Risk
INV001318,10,46.22222222222222,At Risk
INV001326,8,69.42857142857143,At Risk
INV001329,6,68.2,At Risk
INV001331,6,94.2,At Risk
INV001332,7,80.0,At Risk
INV001333,7,78.66666666666667,At Risk
INV001336,8,65.85714285714286,At Risk
INV001348,7,47.833333333333336,At Risk
INV001351,7,70.5,At Risk
INV001355,6,60.2,At Risk
INV001356,6,79.2,At Risk
INV001359,7,72.5,At Risk
INV001361,7,50.5,At Risk
INV001367,6,99.0,At Risk
INV001375,7,78.5,At Risk
INV001376,7,78.66666666666667,At Risk
INV001383,8,56.142857142857146,At Risk
INV001387,9,57.25,At Risk
INV001394,8,63.57142857142857,At Risk
INV001400,6,76.8,At Risk
INV001401,6,68.6,At Risk
INV001406,10,47.666666666666664,At Risk
INV001407,6,45.2,At Risk
INV001415,8,68.14285714285714,At Risk
INV001418,6,88.6,At Risk
INV001419,6,85.8,At Risk
INV001423,8,48.57142857142857,At Risk
INV001428,6,79.4,At Risk
INV001432,6,71.4,At Risk
INV001434,6,80.6,At Risk
INV001442,9,57.125,At Risk
INV001454,7,73.0,At Risk
INV001455,8,64.71428571428571,At Risk
INV001457,6,43.8,At Risk
INV001458,7,59.833333333333336,At Risk
INV001466,6,44.6,At Risk
INV001472,6,79.0,At Risk
INV001482,6,80.6,At Risk
INV001485,9,55.0,At Risk
INV001491,6,98.8,At Risk
INV001497,9,63.0,At Risk
INV001504,9,54.25,At Risk
INV001507,6,86.2,At Risk
INV001510,7,66.83333333333333,At Risk
INV001514,7,51.833333333333336,At Risk
INV001516,6,56.8,At Risk
INV001526,6,50.4,At Risk
INV001530,7,64.66666666666667,At Risk
INV001532,7,56.833333333333336,At Risk
INV001536,7,69.0,At Risk
INV001545,6,92.8,At Risk
INV001547,7,72.16666666666667,At Risk
INV001548,6,80.6,At Risk
INV001550,7,79.0,At Risk
INV001551,6,61.8,At Risk
INV001562,10,44.22222222222222,At Risk
INV001564,8,55.714285714285715,At Risk
INV001569,6,83.4,At Risk
INV001579,7,75.0,At Risk
INV001580,7,45.666666666666664,At Risk
INV001585,6,56.6,At Risk
INV001587,7,65.0,At Risk
INV001597,7,56.0,At Risk
INV001599,6,58.2,At Risk
INV001602,6,93.8,At Risk
INV001603,7,54.5,At Risk
INV001605,8,60.57142857142857,At Risk
INV001606,7,67.66666666666667,At Risk
INV001616,9,53.0,At Risk
INV001623,6,92.0,At Risk
INV001625,6,72.0,At Risk
INV001628,8,51.714285714285715,At Risk
INV001629,7,67.5,At Risk
INV001631,6,57.0,At Risk
INV001636,9,48.875,At Risk
INV001641,6,88.4,At Risk
INV001644,6,65.6,At Risk
INV001645,6,67.6,At Risk
INV001649,10,51.666666666666664,At Risk
INV001651,7,78.66666666666667,At Risk
INV001653,6,55.2,At Risk
INV001654,7,56.0,At Risk
INV001656,8,59.857142857142854,At Risk
INV001662,6,60.2,At Risk
INV001672,9,34.0,Active
INV001673,11,49.3,At Risk
INV001680,9,58.875,At Risk
INV001683,7,72.5,At Risk
INV001689,6,83.6,At Risk
INV001690,7,81.16666666666667,At Risk
INV001691,6,82.0,At Risk
INV001694,8,66.14285714285714,At Risk
INV001697,9,62.5,At Risk
INV001699,6,83.2,At Risk
INV001709,6,51.8,At Risk
INV001711,7,65.83333333333333,At Risk
INV001712,6,66.6,At Risk
INV001715,8,68.28571428571429,At Risk
INV001718,6,84.0,At Risk
INV001724,7,69.66666666666667,At Risk
INV001728,8,50.57142857142857,At Risk
INV001737,7,56.833333333333336,At Risk
INV001738,9,47.5,At Risk
INV001739,9,52.5,At Risk
INV001741,6,89.4,At Risk
INV001744,7,78.5,At Risk
INV001752,7,69.33333333333333,At Risk
INV001753,11,42.8,At Risk
INV001757,8,55.57142857142857,At Risk
INV001759,10,49.55555555555556,At Risk
INV001769,6,98.0,At Risk
INV001772,6,95.0,At Risk
INV001775,8,29.142857142857142,Active
INV001777,9,57.625,At Risk
INV001778,8,63.57142857142857,At Risk
INV001797,7,79.66666666666667,At Risk
INV001800,7,49.666666666666664,At Risk
INV001802,7,61.666666666666664,At Risk
INV001803,6,59.0,At Risk
INV001804,8,55.857142857142854,At Risk
INV001806,8,60.0,At Risk
INV001809,6,95.6,At Risk
INV001811,9,54.25,At Risk
INV001822,6,19.8,Active
INV001823,8,58.142857142857146,At Risk
INV001826,6,51.2,At Risk
INV001828,8,44.42857142857143,At Risk
INV001831,6,72.8,At Risk
INV001837,7,62.833333333333336,At Risk
INV001841,6,56.2,At Risk
INV001853,8,47.42857142857143,At Risk
INV001858,8,55.142857142857146,At Risk
INV001865,7,63.5,At Risk
INV001866,6,58.8,At Risk
INV001870,7,76.0,At Risk
INV001871,7,55.0,At Risk
INV001883,6,99.2,At Risk
INV001885,6,71.2,At Risk
INV001886,9,50.75,At Risk
INV001890,6,102.6,At Risk
INV001891,6,96.4,At Risk
INV001909,8,62.142857142857146,At Risk
INV001912,6,86.4,At Risk
INV001920,7,39.0,At Risk
INV001921,8,68.57142857142857,At Risk
INV001923,7,80.66666666666667,At Risk
INV001924,7,59.166666666666664,At Risk
INV001927,6,58.8,At Risk
INV001929,6,66.2,At Risk
INV001937,8,60.42857142857143,At Risk
INV001938,9,43.0,At Risk
INV001943,6,74.4,At Risk
INV001950,7,60.166666666666664,At Risk
INV001951,7,58.833333333333336,At Risk
INV001954,6,86.8,At Risk
INV001955,6,76.0,At Risk
INV001961,6,83.4,At Risk
INV001969,6,79.2,At Risk
INV001971,8,54.714285714285715,At Risk
INV001972,8,42.42857142857143,At Risk
INV001978,6,83.2,At Risk
INV001979,6,55.4,At Risk
INV001982,6,85.8,At Risk
INV001986,7,47.666666666666664,At Risk
INV001987,7,67.0,At Risk
INV001990,8,45.285714285714285,At Risk
INV001993,6,56.6,At Risk
INV001995,6,48.6,At Risk
INV001997,6,88.6,At Risk
INV002001,6,84.8,At Risk
INV002006,6,73.6,At Risk
INV002010,6,74.6,At Risk
INV002017,7,44.666666666666664,At Risk
INV002018,6,63.6,At Risk
INV002019,6,68.8,At Risk
INV002025,7,55.833333333333336,At Risk
INV002033,7,55.0,At Risk
INV002034,8,69.0,At Risk
INV002037,6,33.2,Active
INV002038,6,84.0,At Risk
INV002051,6,78.6,At Risk
INV002052,7,44.166666666666664,At Risk
INV002069,10,47.55555555555556,At Risk
INV002070,7,81.33333333333333,At Risk
INV002083,10,51.666666666666664,At Risk
INV002085,6,65.0,At Risk
INV002090,6,90.2,At Risk
INV002092,7,33.5,Active
INV002101,6,80.2,At Risk
INV002102,6,44.8,At Risk
INV002107,8,71.14285714285714,At Risk
INV002111,8,62.42857142857143,At Risk
INV002119,6,78.0,At Risk
INV002121,7,68.5,At Risk
INV002122,7,40.333333333333336,At Risk
INV002127,6,60.2,At Risk
INV002134,7,82.66666666666667,At Risk
INV002138,6,91.8,At Risk
INV002142,9,45.5,At Risk
INV002143,8,63.57142857142857,At Risk
INV002149,8,42.285714285714285,At Risk
INV002150,6,73.6,At Risk
INV002151,9,60.375,At Risk
INV002153,7,67.83333333333333,At Risk
INV002154,6,89.4,At Risk
INV002155,6,78.0,At Risk
INV002157,7,58.5,At Risk
INV002159,6,65.0,At Risk
INV002162,9,58.375,At Risk
INV002166,6,99.2,At Risk
INV002171,7,55.833333333333336,At Risk
INV002177,7,73.0,At Risk
INV002178,8,66.42857142857143,At Risk
INV002179,8,54.142857142857146,At Risk
INV002182,7,70.5,At Risk
INV002185,6,48.4,At Risk
INV002186,7,74.83333333333333,At Risk
INV002187,7,67.83333333333333,At Risk
INV002195,9,49.25,At Risk
INV002196,8,62.142857142857146,At Risk
INV002198,9,43.0,At Risk
INV002199,7,50.833333333333336,At Risk
INV002202,8,70.42857142857143,At Risk
INV002206,7,49.0,At Risk
INV002208,7,71.33333333333333,At Risk
INV002211,7,63.833333333333336,At Risk
INV002216,8,61.714285714285715,At Risk
INV002218,6,67.8,At Risk
INV002219,8,70.85714285714286,At Risk
INV002228,6,68.6,At Risk
INV002229,6,64.6,At Risk
INV002230,8,57.57142857142857,At Risk
INV002232,7,69.16666666666667,At Risk
INV002236,7,73.66666666666667,At Risk
INV002237,7,51.666666666666664,At Risk
INV002240,7,77.83333333333333,At Risk
INV002241,7,65.66666666666667,At Risk
INV002251,6,62.6,At Risk
INV002256,6,75.6,At Risk
INV002259,7,45.333333333333336,At Risk
INV002260,6,77.8,At Risk
INV002265,7,63.166666666666664,At Risk
INV002277,7,67.33333333333333,At Risk
INV002280,7,71.66666666666667,At Risk
INV002282,6,53.2,At Risk
INV002284,6,85.0,At Risk
INV002290,6,61.6,At Risk
INV002294,8,48.714285714285715,At Risk
INV002295,7,64.5,At Risk
INV002298,6,23.2,Active
INV002304,10,42.55555555555556,At Risk
INV002315,7,71.83333333333333,At Risk
INV002319,7,60.0,At Risk
INV002322,6,63.4,At Risk
INV002327,6,76.4,At Risk
INV002329,7,57.0,At Risk
INV002342,6,74.2,At Risk
INV002343,9,57.75,At Risk
INV002347,9,40.5,At Risk
INV002348,6,94.4,At Risk
INV002349,6,52.2,At Risk
INV002351,6,77.2,At Risk
INV002357,7,68.33333333333333,At Risk
INV002360,9,56.125,At Risk
INV002361,6,55.4,At Risk
INV002367,7,52.5,At Risk
INV002368,7,61.166666666666664,At Risk
INV002369,6,60.0,At Risk
INV002370,7,70.16666666666667,At Risk
INV002372,6,95.2,At Risk
INV002373,8,70.14285714285714,At Risk
INV002374,6,21.2,Active
INV002384,10,39.111111111111114,At Risk
INV002388,6,33.2,Active
INV002389,10,50.77777777777778,At Risk
INV002390,6,47.0,At Risk
INV002391,6,40.2,At Risk
INV002395,6,97.0,At Risk
INV002400,9,55.375,At Risk
INV002401,8,59.142857142857146,At Risk
INV002402,7,47.166666666666664,At Risk
INV002407,7,47.833333333333336,At Risk
INV002409,8,55.57142857142857,At Risk
INV002413,8,53.0,At Risk
INV002415,8,57.42857142857143,At Risk
INV002417,7,83.33333333333333,At Risk
INV002418,6,91.6,At Risk
INV002420,6,72.8,At Risk
INV002422,10,50.333333333333336,At Risk
INV002429,6,78.6,At Risk
INV002434,6,88.2,At Risk
INV002437,7,49.166666666666664,At Risk
INV002445,8,38.142857142857146,At Risk
INV002453,7,63.0,At Risk
INV002458,6,72.4,At Risk
INV002459,8,53.714285714285715,At Risk
INV002463,6,95.4,At Risk
INV002464,6,35.4,At Risk
INV002466,7,80.66666666666667,At Risk
INV002467,8,38.857142857142854,At Risk
INV002471,6,56.4,At Risk
INV002475,10,49.666666666666664,At Risk
INV002476,6,86.0,At Risk
INV002485,6,70.4,At Risk
INV002490,8,70.0,At Risk
INV002495,6,82.2,At Risk
INV002496,6,53.0,At Risk
INV002497,8,67.28571428571429,At Risk
INV002508,9,51.625,At Risk
INV002509,10,33.666666666666664,Active
INV002510,7,64.33333333333333,At Risk
INV002521,6,74.6,At Risk
INV002527,7,49.666666666666664,At Risk
INV002530,8,71.42857142857143,At Risk
INV002531,7,76.33333333333333,At Risk
INV002543,7,74.66666666666667,At Risk
INV002547,6,89.0,At Risk
INV002552,10,48.22222222222222,At Risk
INV002554,7,49.666666666666664,At Risk
INV002555,7,72.0,At Risk
INV002557,7,67.16666666666667,At Risk
INV002558,6,97.6,At Risk
INV002560,6,95.2,At Risk
INV002563,6,65.8,At Risk
INV002567,6,82.0,At Risk
INV002568,8,61.57142857142857,At Risk
INV002570,7,62.0,At Risk
INV002572,8,55.714285714285715,At Risk
INV002574,6,79.4,At Risk
INV002575,9,56.125,At Risk
INV002579,6,40.8,At Risk
INV002582,6,77.4,At Risk
INV002585,6,65.0,At Risk
INV002586,6,87.2,At Risk
INV002590,10,50.22222222222222,At Risk
INV002591,6,52.2,At Risk
INV002594,6,94.0,At Risk
INV002598,9,51.375,At Risk
INV002602,8,66.0,At Risk
INV002606,6,89.6,At Risk
INV002613,8,65.0,At Risk
INV002622,7,76.66666666666667,At Risk
INV002627,6,85.0,At Risk
INV002628,6,77.0,At Risk
INV002632,8,65.57142857142857,At Risk
INV002640,7,70.0,At Risk
INV002643,6,74.2,At Risk
INV002645,7,45.166666666666664,At Risk
INV002654,8,61.857142857142854,At Risk
INV002659,7,62.333333333333336,At Risk
INV002666,7,53.166666666666664,At Risk
INV002671,7,77.16666666666667,At Risk
INV002673,8,65.0,At Risk
INV002674,6,75.8,At Risk
INV002675,8,63.857142857142854,At Risk
INV002681,7,83.66666666666667,At Risk
INV002684,6,80.6,At Risk
INV002688,9,37.0,At Risk
INV002689,8,50.0,At Risk
INV002693,7,45.833333333333336,At Risk
INV002697,7,55.333333333333336,At Risk
INV002700,7,79.83333333333333,At Risk
INV002704,8,59.142857142857146,At Risk
INV002705,8,22.571428571428573,Active
INV002706,6,73.6,At Risk
INV002711,8,65.57142857142857,At Risk
INV002712,11,46.8,At Risk
INV002722,6,61.4,At Risk
INV002723,9,37.75,At Risk
INV002724,6,76.6,At Risk
INV002726,8,45.57142857142857,At Risk
INV002732,8,70.71428571428571,At Risk
INV002733,8,51.57142857142857,At Risk
INV002735,7,68.16666666666667,At Risk
INV002736,6,70.6,At Risk
INV002737,8,58.42857142857143,At Risk
INV002743,6,88.2,At Risk
INV002744,10,52.888888888888886,At Risk
INV002746,8,68.0,At Risk
INV002750,6,72.4,At Risk
INV002751,7,41.5,At Risk
INV002758,6,81.0,At Risk
INV002761,6,80.6,At Risk
INV002766,6,70.6,At Risk
INV002767,7,55.333333333333336,At Risk
INV002769,7,82.0,At Risk
INV002772,7,74.5,At Risk
INV002779,6,64.2,At Risk
INV002783,7,64.0,At Risk
INV002786,7,76.33333333333333,At Risk
INV002793,7,59.333333333333336,At Risk
INV002794,7,56.166666666666664,At Risk
INV002799,6,70.8,At Risk
INV002800,7,63.5,At Risk
INV002803,7,64.83333333333333,At Risk
INV002804,8,59.857142857142854,At Risk
INV002808,7,59.666666666666664,At Risk
INV002809,6,81.4,At Risk
INV002810,8,32.285714285714285,Active
INV002813,7,49.0,At Risk
INV002822,7,53.0,At Risk
INV002824,7,71.83333333333333,At Risk
INV002826,6,61.6,At Risk
INV002827,6,73.6,At Risk
INV002828,6,80.0,At Risk
INV002831,6,40.2,At Risk
INV002835,7,82.33333333333333,At Risk
INV002838,8,56.714285714285715,At Risk
INV002841,6,43.4,At Risk
INV002843,8,43.142857142857146,At Risk
INV002847,10,52.666666666666664,At Risk
INV002850,7,53.166666666666664,At Risk
INV002852,6,75.8,At Risk
INV002859,7,76.5,At Risk
INV002863,6,74.4,At Risk
INV002865,6,37.2,At Risk
INV002870,6,48.2,At Risk
INV002872,6,85.6,At Risk
INV002873,6,98.2,At Risk
INV002879,7,72.16666666666667,At Risk
INV002881,6,43.6,At Risk
INV002883,6,96.0,At Risk
INV002886,7,44.333333333333336,At Risk
INV002891,8,72.71428571428571,At Risk
INV002893,9,50.0,At Risk
INV002900,6,64.2,At Risk
INV002903,6,89.6,At Risk
INV002904,7,49.333333333333336,At Risk
INV002905,6,73.0,At Risk
INV002906,6,41.2,At Risk
INV002909,7,82.33333333333333,At Risk
INV002912,6,97.0,At Risk
